CEDULA,USUARIO,DEPARTAMENTO,MUNICIPIO,PUESTO,MESA,CODIGO_MESA,DIRECCION,CONTRASEÑA
2601080401001,testigo_2601080401001,QUINDIO,ARMENIA,ESC. SUP. DE ADMINISTRACION PUBLICA ESAP,ESC. SUP. DE ADMINISTRACION PUBLICA ESAP - Mesa 1,2601080401,,test123
2601900101001,testigo_2601900101001,QUINDIO,ARMENIA,ESTADIO CENTENARIO,ESTADIO CENTENARIO - Mesa 1,2601900101,,test123
2601900102001,testigo_2601900102001,QUINDIO,ARMENIA,ESTADIO CENTENARIO,ESTADIO CENTENARIO - Mesa 2,2601900102,,test123
2601900103001,testigo_2601900103001,QUINDIO,ARMENIA,ESTADIO CENTENARIO,ESTADIO CENTENARIO - Mesa 3,2601900103,,test123
2601997001001,testigo_2601997001001,QUINDIO,ARMENIA,FUND. MANOS UNIDAS DE DIOS (PANTANILLO),FUND. MANOS UNIDAS DE DIOS (PANTANILLO) - Mesa 1,2601997001,,test123
2601100501001,testigo_2601100501001,QUINDIO,ARMENIA,FUNDACION QUINDIANA DE ATENCION INTEGRAL,FUNDACION QUINDIANA DE ATENCION INTEGRAL - Mesa 1,2601100501,,test123
2601020201001,testigo_2601020201001,QUINDIO,ARMENIA,I.E. ROSANA LONDOÑO,I.E. ROSANA LONDOÑO - Mesa 1,2601020201,,test123
2601020202001,testigo_2601020202001,QUINDIO,ARMENIA,I.E. ROSANA LONDOÑO,I.E. ROSANA LONDOÑO - Mesa 2,2601020202,,test123
2601060201001,testigo_2601060201001,QUINDIO,ARMENIA,IE CAMARA JUNIOR,IE CAMARA JUNIOR - Mesa 1,2601060201,,test123
2601060202001,testigo_2601060202001,QUINDIO,ARMENIA,IE CAMARA JUNIOR,IE CAMARA JUNIOR - Mesa 2,2601060202,,test123
2601060401001,testigo_2601060401001,QUINDIO,ARMENIA,IE CAMARA JUNIOR SEDE LA PAVON,IE CAMARA JUNIOR SEDE LA PAVON - Mesa 1,2601060401,,test123
2601050301001,testigo_2601050301001,QUINDIO,ARMENIA,IE CAMILO TORRES,IE CAMILO TORRES - Mesa 1,2601050301,,test123
2601050302001,testigo_2601050302001,QUINDIO,ARMENIA,IE CAMILO TORRES,IE CAMILO TORRES - Mesa 2,2601050302,,test123
2601090601001,testigo_2601090601001,QUINDIO,ARMENIA,IE CASD SEDE PRINCIPAL,IE CASD SEDE PRINCIPAL - Mesa 1,2601090601,,test123
2601090501001,testigo_2601090501001,QUINDIO,ARMENIA,IE CASD SEDE SANTA EUFRACIA,IE CASD SEDE SANTA EUFRACIA - Mesa 1,2601090501,,test123
2601090502001,testigo_2601090502001,QUINDIO,ARMENIA,IE CASD SEDE SANTA EUFRACIA,IE CASD SEDE SANTA EUFRACIA - Mesa 2,2601090502,,test123
2601090503001,testigo_2601090503001,QUINDIO,ARMENIA,IE CASD SEDE SANTA EUFRACIA,IE CASD SEDE SANTA EUFRACIA - Mesa 3,2601090503,,test123
2601080101001,testigo_2601080101001,QUINDIO,ARMENIA,IE CIUDAD ARMENIA,IE CIUDAD ARMENIA - Mesa 1,2601080101,,test123
2601080102001,testigo_2601080102001,QUINDIO,ARMENIA,IE CIUDAD ARMENIA,IE CIUDAD ARMENIA - Mesa 2,2601080102,,test123
2601050201001,testigo_2601050201001,QUINDIO,ARMENIA,IE CIUDAD DORADA,IE CIUDAD DORADA - Mesa 1,2601050201,,test123
2601050202001,testigo_2601050202001,QUINDIO,ARMENIA,IE CIUDAD DORADA,IE CIUDAD DORADA - Mesa 2,2601050202,,test123
2601070301001,testigo_2601070301001,QUINDIO,ARMENIA,IE CIUDADELA DE OCCIDENTE,IE CIUDADELA DE OCCIDENTE - Mesa 1,2601070301,,test123
2601070302001,testigo_2601070302001,QUINDIO,ARMENIA,IE CIUDADELA DE OCCIDENTE,IE CIUDADELA DE OCCIDENTE - Mesa 2,2601070302,,test123
2601070401001,testigo_2601070401001,QUINDIO,ARMENIA,IE CIUDADELA DE OCCIDENTE SD LA PATRIA,IE CIUDADELA DE OCCIDENTE SD LA PATRIA - Mesa 1,2601070401,,test123
2601070402001,testigo_2601070402001,QUINDIO,ARMENIA,IE CIUDADELA DE OCCIDENTE SD LA PATRIA,IE CIUDADELA DE OCCIDENTE SD LA PATRIA - Mesa 2,2601070402,,test123
2601030301001,testigo_2601030301001,QUINDIO,ARMENIA,IE CIUDADELA DEL SUR,IE CIUDADELA DEL SUR - Mesa 1,2601030301,,test123
2601030302001,testigo_2601030302001,QUINDIO,ARMENIA,IE CIUDADELA DEL SUR,IE CIUDADELA DEL SUR - Mesa 2,2601030302,,test123
2601030303001,testigo_2601030303001,QUINDIO,ARMENIA,IE CIUDADELA DEL SUR,IE CIUDADELA DEL SUR - Mesa 3,2601030303,,test123
2601090101001,testigo_2601090101001,QUINDIO,ARMENIA,IE CRISTOBAL COLON,IE CRISTOBAL COLON - Mesa 1,2601090101,,test123
2601090102001,testigo_2601090102001,QUINDIO,ARMENIA,IE CRISTOBAL COLON,IE CRISTOBAL COLON - Mesa 2,2601090102,,test123
2601070201001,testigo_2601070201001,QUINDIO,ARMENIA,IE ESCUELA NORMAL SUPERIOR,IE ESCUELA NORMAL SUPERIOR - Mesa 1,2601070201,,test123
2601070202001,testigo_2601070202001,QUINDIO,ARMENIA,IE ESCUELA NORMAL SUPERIOR,IE ESCUELA NORMAL SUPERIOR - Mesa 2,2601070202,,test123
2601100701001,testigo_2601100701001,QUINDIO,ARMENIA,IE EUDORO GRANADA SD FUNDADORES,IE EUDORO GRANADA SD FUNDADORES - Mesa 1,2601100701,,test123
2601090201001,testigo_2601090201001,QUINDIO,ARMENIA,IE GRAN COLOMBIA,IE GRAN COLOMBIA - Mesa 1,2601090201,,test123
2601090202001,testigo_2601090202001,QUINDIO,ARMENIA,IE GRAN COLOMBIA,IE GRAN COLOMBIA - Mesa 2,2601090202,,test123
2601060301001,testigo_2601060301001,QUINDIO,ARMENIA,IE GUSTAVO MATAMOROS D. COSTA,IE GUSTAVO MATAMOROS D. COSTA - Mesa 1,2601060301,,test123
2601060302001,testigo_2601060302001,QUINDIO,ARMENIA,IE GUSTAVO MATAMOROS D. COSTA,IE GUSTAVO MATAMOROS D. COSTA - Mesa 2,2601060302,,test123
2601060303001,testigo_2601060303001,QUINDIO,ARMENIA,IE GUSTAVO MATAMOROS D. COSTA,IE GUSTAVO MATAMOROS D. COSTA - Mesa 3,2601060303,,test123
2601090401001,testigo_2601090401001,QUINDIO,ARMENIA,IE INEM JOSE CELESTINO MUTIS,IE INEM JOSE CELESTINO MUTIS - Mesa 1,2601090401,,test123
2601090402001,testigo_2601090402001,QUINDIO,ARMENIA,IE INEM JOSE CELESTINO MUTIS,IE INEM JOSE CELESTINO MUTIS - Mesa 2,2601090402,,test123
2601010301001,testigo_2601010301001,QUINDIO,ARMENIA,IE INSTITUTO TECNICO INDUSTRIAL,IE INSTITUTO TECNICO INDUSTRIAL - Mesa 1,2601010301,,test123
2601050101001,testigo_2601050101001,QUINDIO,ARMENIA,IE JESUS MARIA OCAMPO,IE JESUS MARIA OCAMPO - Mesa 1,2601050101,,test123
2601050102001,testigo_2601050102001,QUINDIO,ARMENIA,IE JESUS MARIA OCAMPO,IE JESUS MARIA OCAMPO - Mesa 2,2601050102,,test123
2601030401001,testigo_2601030401001,QUINDIO,ARMENIA,IE JUAN XXIII,IE JUAN XXIII - Mesa 1,2601030401,,test123
2601030402001,testigo_2601030402001,QUINDIO,ARMENIA,IE JUAN XXIII,IE JUAN XXIII - Mesa 2,2601030402,,test123
2601040201001,testigo_2601040201001,QUINDIO,ARMENIA,IE LA ADIELA SEDE LA CECILIA,IE LA ADIELA SEDE LA CECILIA - Mesa 1,2601040201,,test123
2601040202001,testigo_2601040202001,QUINDIO,ARMENIA,IE LA ADIELA SEDE LA CECILIA,IE LA ADIELA SEDE LA CECILIA - Mesa 2,2601040202,,test123
2601040203001,testigo_2601040203001,QUINDIO,ARMENIA,IE LA ADIELA SEDE LA CECILIA,IE LA ADIELA SEDE LA CECILIA - Mesa 3,2601040203,,test123
2601040301001,testigo_2601040301001,QUINDIO,ARMENIA,IE LAS COLINAS,IE LAS COLINAS - Mesa 1,2601040301,,test123
2601010201001,testigo_2601010201001,QUINDIO,ARMENIA,IE LAURA VICUÑA,IE LAURA VICUÑA - Mesa 1,2601010201,,test123
2601010202001,testigo_2601010202001,QUINDIO,ARMENIA,IE LAURA VICUÑA,IE LAURA VICUÑA - Mesa 2,2601010202,,test123
2601010203001,testigo_2601010203001,QUINDIO,ARMENIA,IE LAURA VICUÑA,IE LAURA VICUÑA - Mesa 3,2601010203,,test123
2601030201001,testigo_2601030201001,QUINDIO,ARMENIA,IE LOS QUINDOS,IE LOS QUINDOS - Mesa 1,2601030201,,test123
2601030202001,testigo_2601030202001,QUINDIO,ARMENIA,IE LOS QUINDOS,IE LOS QUINDOS - Mesa 2,2601030202,,test123
2601050401001,testigo_2601050401001,QUINDIO,ARMENIA,IE LUIS BERNAL GIRALDO,IE LUIS BERNAL GIRALDO - Mesa 1,2601050401,,test123
2601020301001,testigo_2601020301001,QUINDIO,ARMENIA,IE MARCELINO CHAMPAGNAT,IE MARCELINO CHAMPAGNAT - Mesa 1,2601020301,,test123
2601020302001,testigo_2601020302001,QUINDIO,ARMENIA,IE MARCELINO CHAMPAGNAT,IE MARCELINO CHAMPAGNAT - Mesa 2,2601020302,,test123
2601040101001,testigo_2601040101001,QUINDIO,ARMENIA,IE NUESTRA SEÑORA DE BELEN,IE NUESTRA SEÑORA DE BELEN - Mesa 1,2601040101,,test123
2601040102001,testigo_2601040102001,QUINDIO,ARMENIA,IE NUESTRA SEÑORA DE BELEN,IE NUESTRA SEÑORA DE BELEN - Mesa 2,2601040102,,test123
2601030501001,testigo_2601030501001,QUINDIO,ARMENIA,IE POLICARPA SALAVARRIETA,IE POLICARPA SALAVARRIETA - Mesa 1,2601030501,,test123
2601100301001,testigo_2601100301001,QUINDIO,ARMENIA,IE REPUBLICA DE FRANCIA,IE REPUBLICA DE FRANCIA - Mesa 1,2601100301,,test123
2601100302001,testigo_2601100302001,QUINDIO,ARMENIA,IE REPUBLICA DE FRANCIA,IE REPUBLICA DE FRANCIA - Mesa 2,2601100302,,test123
2601060101001,testigo_2601060101001,QUINDIO,ARMENIA,IE RUFINO CUERVO CENT SEDE ANT,IE RUFINO CUERVO CENT SEDE ANT - Mesa 1,2601060101,,test123
2601070101001,testigo_2601070101001,QUINDIO,ARMENIA,IE RUFINO JOSE CUERVO CENTRO,IE RUFINO JOSE CUERVO CENTRO - Mesa 1,2601070101,,test123
2601070102001,testigo_2601070102001,QUINDIO,ARMENIA,IE RUFINO JOSE CUERVO CENTRO,IE RUFINO JOSE CUERVO CENTRO - Mesa 2,2601070102,,test123
2601070103001,testigo_2601070103001,QUINDIO,ARMENIA,IE RUFINO JOSE CUERVO CENTRO,IE RUFINO JOSE CUERVO CENTRO - Mesa 3,2601070103,,test123
2601020401001,testigo_2601020401001,QUINDIO,ARMENIA,IE RUFINO JOSE CUERVO SUR,IE RUFINO JOSE CUERVO SUR - Mesa 1,2601020401,,test123
2601020101001,testigo_2601020101001,QUINDIO,ARMENIA,IE RUFINO SUR SEDE MADRE MARCE,IE RUFINO SUR SEDE MADRE MARCE - Mesa 1,2601020101,,test123
2601020102001,testigo_2601020102001,QUINDIO,ARMENIA,IE RUFINO SUR SEDE MADRE MARCE,IE RUFINO SUR SEDE MADRE MARCE - Mesa 2,2601020102,,test123
2601020103001,testigo_2601020103001,QUINDIO,ARMENIA,IE RUFINO SUR SEDE MADRE MARCE,IE RUFINO SUR SEDE MADRE MARCE - Mesa 3,2601020103,,test123
2601100801001,testigo_2601100801001,QUINDIO,ARMENIA,IE SANTA TERESA DE JESUS SD LA FLORIDA,IE SANTA TERESA DE JESUS SD LA FLORIDA - Mesa 1,2601100801,,test123
2601010401001,testigo_2601010401001,QUINDIO,ARMENIA,IE SIMON RODRIGUEZ,IE SIMON RODRIGUEZ - Mesa 1,2601010401,,test123
12345678,testigo_12345678,QUINDIO,ARMENIA,IE TERESITA MONTES SD LUIS C. GALAN S.,IE TERESITA MONTES SD LUIS C. GALAN S. - Mesa 1,2601010101,,test123
2601010101001,testigo_2601010101001,QUINDIO,ARMENIA,IE TERESITA MONTES SD LUIS C. GALAN S.,IE TERESITA MONTES SD LUIS C. GALAN S. - Mesa 1,2601010101,,test123
2601010102001,testigo_2601010102001,QUINDIO,ARMENIA,IE TERESITA MONTES SD LUIS C. GALAN S.,IE TERESITA MONTES SD LUIS C. GALAN S. - Mesa 2,2601010102,,test123
2601010501001,testigo_2601010501001,QUINDIO,ARMENIA,IE TERESITA MONTES SD PRINCIPAL,IE TERESITA MONTES SD PRINCIPAL - Mesa 1,2601010501,,test123
2601010502001,testigo_2601010502001,QUINDIO,ARMENIA,IE TERESITA MONTES SD PRINCIPAL,IE TERESITA MONTES SD PRINCIPAL - Mesa 2,2601010502,,test123
2601030101001,testigo_2601030101001,QUINDIO,ARMENIA,IE ZULDEMAYDA,IE ZULDEMAYDA - Mesa 1,2601030101,,test123
2601030102001,testigo_2601030102001,QUINDIO,ARMENIA,IE ZULDEMAYDA,IE ZULDEMAYDA - Mesa 2,2601030102,,test123
2601995801001,testigo_2601995801001,QUINDIO,ARMENIA,MURILLO,MURILLO - Mesa 1,2601995801,,test123
2601100601001,testigo_2601100601001,QUINDIO,ARMENIA,SENA CENTRO AGROINDUSTRIAL,SENA CENTRO AGROINDUSTRIAL - Mesa 1,2601100601,,test123
2601100201001,testigo_2601100201001,QUINDIO,ARMENIA,UNIVERSIDAD DEL QUINDIO,UNIVERSIDAD DEL QUINDIO - Mesa 1,2601100201,,test123
2601100202001,testigo_2601100202001,QUINDIO,ARMENIA,UNIVERSIDAD DEL QUINDIO,UNIVERSIDAD DEL QUINDIO - Mesa 2,2601100202,,test123
2601100203001,testigo_2601100203001,QUINDIO,ARMENIA,UNIVERSIDAD DEL QUINDIO,UNIVERSIDAD DEL QUINDIO - Mesa 3,2601100203,,test123
2601100204001,testigo_2601100204001,QUINDIO,ARMENIA,UNIVERSIDAD DEL QUINDIO,UNIVERSIDAD DEL QUINDIO - Mesa 4,2601100204,,test123
2601100205001,testigo_2601100205001,QUINDIO,ARMENIA,UNIVERSIDAD DEL QUINDIO,UNIVERSIDAD DEL QUINDIO - Mesa 5,2601100205,,test123
2605997001001,testigo_2605997001001,QUINDIO,BUENAVISTA,IE RIO VERDE BAJO,IE RIO VERDE BAJO - Mesa 1,2605997001,,test123
2605000001001,testigo_2605000001001,QUINDIO,BUENAVISTA,PUESTO CABECERA MUNICIPAL,PUESTO CABECERA MUNICIPAL - Mesa 1,2605000001,,test123
2610991001001,testigo_2610991001001,QUINDIO,CALARCA,BARCELONA,BARCELONA - Mesa 1,2610991001,,test123
2610991002001,testigo_2610991002001,QUINDIO,CALARCA,BARCELONA,BARCELONA - Mesa 2,2610991002,,test123
2610980101001,testigo_2610980101001,QUINDIO,CALARCA,CARCEL,CARCEL - Mesa 1,2610980101,,test123
2610010501001,testigo_2610010501001,QUINDIO,CALARCA,CIUDADELA EDU SECTOR LAURELES,CIUDADELA EDU SECTOR LAURELES - Mesa 1,2610010501,,test123
2610010301001,testigo_2610010301001,QUINDIO,CALARCA,COL. ROMAN MARIA VALENCIA,COL. ROMAN MARIA VALENCIA - Mesa 1,2610010301,,test123
2610010302001,testigo_2610010302001,QUINDIO,CALARCA,COL. ROMAN MARIA VALENCIA,COL. ROMAN MARIA VALENCIA - Mesa 2,2610010302,,test123
2610010401001,testigo_2610010401001,QUINDIO,CALARCA,COLEGIO ANTONIO NARIÑO,COLEGIO ANTONIO NARIÑO - Mesa 1,2610010401,,test123
2610010402001,testigo_2610010402001,QUINDIO,CALARCA,COLEGIO ANTONIO NARIÑO,COLEGIO ANTONIO NARIÑO - Mesa 2,2610010402,,test123
2610010403001,testigo_2610010403001,QUINDIO,CALARCA,COLEGIO ANTONIO NARIÑO,COLEGIO ANTONIO NARIÑO - Mesa 3,2610010403,,test123
2610010201001,testigo_2610010201001,QUINDIO,CALARCA,COLEGIO LEON DE GREIFF,COLEGIO LEON DE GREIFF - Mesa 1,2610010201,,test123
2610010202001,testigo_2610010202001,QUINDIO,CALARCA,COLEGIO LEON DE GREIFF,COLEGIO LEON DE GREIFF - Mesa 2,2610010202,,test123
2610020101001,testigo_2610020101001,QUINDIO,CALARCA,COLEGIO ROBLEDO,COLEGIO ROBLEDO - Mesa 1,2610020101,,test123
2610020102001,testigo_2610020102001,QUINDIO,CALARCA,COLEGIO ROBLEDO,COLEGIO ROBLEDO - Mesa 2,2610020102,,test123
2610020103001,testigo_2610020103001,QUINDIO,CALARCA,COLEGIO ROBLEDO,COLEGIO ROBLEDO - Mesa 3,2610020103,,test123
2610020301001,testigo_2610020301001,QUINDIO,CALARCA,CONCENTRACION JHON F. KENNEDY,CONCENTRACION JHON F. KENNEDY - Mesa 1,2610020301,,test123
2610020302001,testigo_2610020302001,QUINDIO,CALARCA,CONCENTRACION JHON F. KENNEDY,CONCENTRACION JHON F. KENNEDY - Mesa 2,2610020302,,test123
2610020201001,testigo_2610020201001,QUINDIO,CALARCA,ESCUELA SANTANDER,ESCUELA SANTANDER - Mesa 1,2610020201,,test123
2610020202001,testigo_2610020202001,QUINDIO,CALARCA,ESCUELA SANTANDER,ESCUELA SANTANDER - Mesa 2,2610020202,,test123
2610020401001,testigo_2610020401001,QUINDIO,CALARCA,IE SAN RAFAEL SD LA PRIMAVERA,IE SAN RAFAEL SD LA PRIMAVERA - Mesa 1,2610020401,,test123
2610010101001,testigo_2610010101001,QUINDIO,CALARCA,INST.EDUC.SEGUNDO HENAO,INST.EDUC.SEGUNDO HENAO - Mesa 1,2610010101,,test123
2610010102001,testigo_2610010102001,QUINDIO,CALARCA,INST.EDUC.SEGUNDO HENAO,INST.EDUC.SEGUNDO HENAO - Mesa 2,2610010102,,test123
2610995001001,testigo_2610995001001,QUINDIO,CALARCA,LA ALBANIA,LA ALBANIA - Mesa 1,2610995001,,test123
2610995201001,testigo_2610995201001,QUINDIO,CALARCA,LA BELLA,LA BELLA - Mesa 1,2610995201,,test123
2610995501001,testigo_2610995501001,QUINDIO,CALARCA,LA VIRGINIA,LA VIRGINIA - Mesa 1,2610995501,,test123
2610900101001,testigo_2610900101001,QUINDIO,CALARCA,PUESTO CENSO (VIVE DIGITAL),PUESTO CENSO (VIVE DIGITAL) - Mesa 1,2610900101,,test123
2610997501001,testigo_2610997501001,QUINDIO,CALARCA,QUEBRADANEGRA,QUEBRADANEGRA - Mesa 1,2610997501,,test123
2620993001001,testigo_2620993001001,QUINDIO,CIRCASIA,HOJAS ANCHAS,HOJAS ANCHAS - Mesa 1,2620993001,,test123
2620020201001,testigo_2620020201001,QUINDIO,CIRCASIA,I E  LIBRE,I E  LIBRE - Mesa 1,2620020201,,test123
2620020202001,testigo_2620020202001,QUINDIO,CIRCASIA,I E  LIBRE,I E  LIBRE - Mesa 2,2620020202,,test123
2620020101001,testigo_2620020101001,QUINDIO,CIRCASIA,I.E.EDUCATIVA IMET,I.E.EDUCATIVA IMET - Mesa 1,2620020101,,test123
2620020102001,testigo_2620020102001,QUINDIO,CIRCASIA,I.E.EDUCATIVA IMET,I.E.EDUCATIVA IMET - Mesa 2,2620020102,,test123
2620010201001,testigo_2620010201001,QUINDIO,CIRCASIA,I.E.FRANCISCO LONDOÑO,I.E.FRANCISCO LONDOÑO - Mesa 1,2620010201,,test123
2620010202001,testigo_2620010202001,QUINDIO,CIRCASIA,I.E.FRANCISCO LONDOÑO,I.E.FRANCISCO LONDOÑO - Mesa 2,2620010202,,test123
2620010101001,testigo_2620010101001,QUINDIO,CIRCASIA,I.E.SAN JOSE,I.E.SAN JOSE - Mesa 1,2620010101,,test123
2620010102001,testigo_2620010102001,QUINDIO,CIRCASIA,I.E.SAN JOSE,I.E.SAN JOSE - Mesa 2,2620010102,,test123
2620995001001,testigo_2620995001001,QUINDIO,CIRCASIA,LA CONCHA,LA CONCHA - Mesa 1,2620995001,,test123
2620995301001,testigo_2620995301001,QUINDIO,CIRCASIA,LA POLA,LA POLA - Mesa 1,2620995301,,test123
2620995401001,testigo_2620995401001,QUINDIO,CIRCASIA,LA SIRIA,LA SIRIA - Mesa 1,2620995401,,test123
2620997201001,testigo_2620997201001,QUINDIO,CIRCASIA,PIAMONTE,PIAMONTE - Mesa 1,2620997201,,test123
2620998001001,testigo_2620998001001,QUINDIO,CIRCASIA,SANTA RITA,SANTA RITA - Mesa 1,2620998001,,test123
2625000001001,testigo_2625000001001,QUINDIO,CORDOBA,PUESTO CABECERA MUNICIPAL,PUESTO CABECERA MUNICIPAL - Mesa 1,2625000001,,test123
2625000002001,testigo_2625000002001,QUINDIO,CORDOBA,PUESTO CABECERA MUNICIPAL,PUESTO CABECERA MUNICIPAL - Mesa 2,2625000002,,test123
2630995401001,testigo_2630995401001,QUINDIO,FILANDIA,CRUCES,CRUCES - Mesa 1,2630995401,,test123
2630993101001,testigo_2630993101001,QUINDIO,FILANDIA,EL PARAISO,EL PARAISO - Mesa 1,2630993101,,test123
2630000001001,testigo_2630000001001,QUINDIO,FILANDIA,IE LIC. ANDINO DE LA SANTISIMA TRINIDAD,IE LIC. ANDINO DE LA SANTISIMA TRINIDAD - Mesa 1,2630000001,,test123
2630000002001,testigo_2630000002001,QUINDIO,FILANDIA,IE LIC. ANDINO DE LA SANTISIMA TRINIDAD,IE LIC. ANDINO DE LA SANTISIMA TRINIDAD - Mesa 2,2630000002,,test123
2630000003001,testigo_2630000003001,QUINDIO,FILANDIA,IE LIC. ANDINO DE LA SANTISIMA TRINIDAD,IE LIC. ANDINO DE LA SANTISIMA TRINIDAD - Mesa 3,2630000003,,test123
2630995301001,testigo_2630995301001,QUINDIO,FILANDIA,LA INDIA,LA INDIA - Mesa 1,2630995301,,test123
2630997301001,testigo_2630997301001,QUINDIO,FILANDIA,PAVAS,PAVAS - Mesa 1,2630997301,,test123
2640993201001,testigo_2640993201001,QUINDIO,GENOVA,LA VENADA,LA VENADA - Mesa 1,2640993201,,test123
2640000001001,testigo_2640000001001,QUINDIO,GENOVA,PUESTO CABECERA MUNICIPAL,PUESTO CABECERA MUNICIPAL - Mesa 1,2640000001,,test123
2640000002001,testigo_2640000002001,QUINDIO,GENOVA,PUESTO CABECERA MUNICIPAL,PUESTO CABECERA MUNICIPAL - Mesa 2,2640000002,,test123
2650010101001,testigo_2650010101001,QUINDIO,LA TEBAIDA,CTRO EDUC. INSTITUTO TEBAIDA,CTRO EDUC. INSTITUTO TEBAIDA - Mesa 1,2650010101,,test123
2650010102001,testigo_2650010102001,QUINDIO,LA TEBAIDA,CTRO EDUC. INSTITUTO TEBAIDA,CTRO EDUC. INSTITUTO TEBAIDA - Mesa 2,2650010102,,test123
2650010103001,testigo_2650010103001,QUINDIO,LA TEBAIDA,CTRO EDUC. INSTITUTO TEBAIDA,CTRO EDUC. INSTITUTO TEBAIDA - Mesa 3,2650010103,,test123
2650020101001,testigo_2650020101001,QUINDIO,LA TEBAIDA,IE PEDACITO DE CIELO,IE PEDACITO DE CIELO - Mesa 1,2650020101,,test123
2650020102001,testigo_2650020102001,QUINDIO,LA TEBAIDA,IE PEDACITO DE CIELO,IE PEDACITO DE CIELO - Mesa 2,2650020102,,test123
2650020103001,testigo_2650020103001,QUINDIO,LA TEBAIDA,IE PEDACITO DE CIELO,IE PEDACITO DE CIELO - Mesa 3,2650020103,,test123
2650010201001,testigo_2650010201001,QUINDIO,LA TEBAIDA,INS. EDUC. GABRIELA MISTRAL,INS. EDUC. GABRIELA MISTRAL - Mesa 1,2650010201,,test123
2650010202001,testigo_2650010202001,QUINDIO,LA TEBAIDA,INS. EDUC. GABRIELA MISTRAL,INS. EDUC. GABRIELA MISTRAL - Mesa 2,2650010202,,test123
2650010301001,testigo_2650010301001,QUINDIO,LA TEBAIDA,INS. EDUC. NUEVO HORIZONTE,INS. EDUC. NUEVO HORIZONTE - Mesa 1,2650010301,,test123
2650020201001,testigo_2650020201001,QUINDIO,LA TEBAIDA,INSTITUTO EDUC. ANTONIO NARIÑO,INSTITUTO EDUC. ANTONIO NARIÑO - Mesa 1,2650020201,,test123
2650020202001,testigo_2650020202001,QUINDIO,LA TEBAIDA,INSTITUTO EDUC. ANTONIO NARIÑO,INSTITUTO EDUC. ANTONIO NARIÑO - Mesa 2,2650020202,,test123
2650992801001,testigo_2650992801001,QUINDIO,LA TEBAIDA,LA HERRADURA  (LA SILVIA),LA HERRADURA  (LA SILVIA) - Mesa 1,2650992801,,test123
2660020101001,testigo_2660020101001,QUINDIO,MONTENEGRO,COL. SANTAMARIA GORETTI,COL. SANTAMARIA GORETTI - Mesa 1,2660020101,,test123
2660010201001,testigo_2660010201001,QUINDIO,MONTENEGRO,COLEGIO INSTITUTO MONTENEGRO,COLEGIO INSTITUTO MONTENEGRO - Mesa 1,2660010201,,test123
